Date (UTC+1:00),Token,Type,Price (EUR),Amount,Total value (EUR),Fee,Fee Currency,Notes
"2024-03-26 13:45:00","USDT","buy","0.9329","5.7600","5.3739","--","",""
"2024-03-26 13:45:00","USDT","sell","0.9329","5.9320","5.5344","--","",""
"2024-03-23 22:50:00","WNXM","buy","64.37","0.08","5.1500","--","",""
"2024-03-23 13:45:00","USDT","sell","0.9329","5.5200","5.1500","--","",""
"2024-03-21 22:50:00","VANRY","buy","0.2792","20.00","5.5857","--","",""
"2024-03-21 22:50:00","OM","buy","0.5592","10.00","5.5924","--","",""
"2024-03-21 22:50:00","LTO","buy","0.1628","30.00","4.8841","--","",""
"2024-03-21 22:50:00","OOKI","buy","0.003007","2,000.00","6.0158","--","",""
"2024-03-21 22:50:00","POLYX","buy","0.3517","13.50","4.7483","--","",""
"2024-03-21 13:45:00","USDT","sell","0.9329","5.9870","5.5857","--","",""
"2024-03-21 13:45:00","USDT","sell","0.9329","5.9940","5.5922","--","",""
"2024-03-21 13:45:00","USDT","sell","0.9329","5.2340","4.8831","--","",""
"2024-03-21 13:45:00","USDT","sell","0.9329","6.4470","6.0148","--","",""
"2024-03-21 13:45:00","USDT","sell","0.9329","5.0890","4.7479","--","",""
"2024-03-20 22:45:00","ETHFI","buy","3.7039","2.5000","9.2597","--","",""
"2024-03-20 13:45:00","USDT","sell","0.9329","9.9250","9.2597","--","",""
"2024-03-19 22:45:00","ETH","buy","2,908.99","0.007","20.36","--","",""
"2024-03-19 22:45:00","BTC","buy","59,482.53","0.0008","47.59","--","",""
"2024-03-19 13:45:00","USDT","sell","0.9329","21.82","20.36","--","",""
"2024-03-19 13:45:00","USDT","sell","0.9329","51.00","47.58","--","",""
"2024-03-18 22:45:00","ETH","buy","3,125.44","0.0025","7.8136","--","",""
"2024-03-18 22:45:00","AI","buy","1.4927","6.0000","8.9565","--","",""
"2024-03-18 13:45:00","USDT","sell","0.9329","8.3750","7.8136","--","",""
"2024-03-18 13:40:00","USDT","sell","0.9329","9.6000","8.9565","--","",""
"2024-03-17 22:45:00","BNB","buy","530.30","0.011","5.8333","--","",""
"2024-03-17 13:40:00","USDT","sell","0.9329","6.2520","5.8329","--","",""
"2024-03-15 22:45:00","BTC","buy","61,062.62","0.00025","15.27","--","",""
"2024-03-15 13:40:00","USDT","sell","0.9329","16.36","15.26","--","",""
"2024-03-13 22:45:00","AI","buy","1.8473","5.0000","9.2364","--","",""
"2024-03-13 22:45:00","ETH","buy","3,776.71","0.0021","7.9311","--","",""
"2024-03-13 22:40:00","BTC","buy","65,307.62","0.00022","14.37","--","",""
"2024-03-13 22:40:00","BTC","sell","68,526.35","0.00021","14.39","--","",""
"2024-03-13 13:40:00","USDT","sell","0.9329","9.9000","9.2364","--","",""
"2024-03-13 13:40:00","USDT","sell","0.9329","8.5000","7.9302","--","",""
"2024-03-13 13:40:00","USDT","sell","0.9329","15.40","14.37","--","",""
"2024-03-13 13:40:00","USDT","buy","0.9329","15.42","14.39","--","",""
"2024-03-12 22:40:00","BTC","buy","65,956.96","0.00021","13.85","--","",""
"2024-03-12 13:40:00","USDT","sell","0.9329","14.84","13.85","--","",""
"2024-03-11 22:40:00","BTC","sell","68,013.22","0.00012","8.1616","--","",""
"2024-03-11 22:40:00","BTC","buy","67,239.34","0.00013","8.7411","--","",""
"2024-03-11 13:40:00","USDT","buy","0.9329","8.7480","8.1616","--","",""
"2024-03-11 13:40:00","USDT","sell","0.9329","9.3690","8.7410","--","",""
